Series Number,Filename,Gender,Description ,NFT Name,UUID,HASH
121,azikiwe-popular-trader,Make,,azikiwe popular trader ,7ebde325-8efc-4997-811a-b5686269929e,
122,obasanjo-funny-guy,Make,,Obasanjo funny guy,c136a120-a339-4080-96ca-1c93845c5848,
123,yakubu-village-chief,Make,,Yakubu village chief,5b0c0d26-d204-4264-b579-081ff9df935b,
124,abacha-loves-smoking,Make,,,8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,
125,johnathan-good-leader,Make,,,241e3713-4ce3-48d0-827f-b282ae2db6c4,
126,johnathan-genz-kid,Make,,,90c0ae09-a35f-42ad-b93c-dcf30169acd9,
127,eddy-the-community,Make,,,5cabf9d9-882b-459e-9253-8c07eb045e2d,
128,olu-the-oba,Make,,,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,
129,edu-the-biggest-trader,Make,,,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,
130,james-importer-and-exporter,Make,,,22541251-022f-480c-8c1e-cf754dce16d6,
131,lanre-the-dreaded-guy,Make,,,66a054cd-5541-4000-98aa-8f2e9892d880,
132,olamide-the-street-boy,Make,,,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,
133,uche-peace-loving-man,Make,,,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,
134,dave-the-tech-bro,Make,,,c0857b11-bf0e-46a4-9108-b8eb93d83e74,
135,obi-the-biggest-humanitarian,Make,,,201a408c-7a2e-42d9-a62c-0136c885c211,
136,precious-the-emotional-girl,Female,,,b6a41ff1-51ce-42f7-9933-85d0a22ced68,
137,ella-serious-minded,Female,,,04036447-f43e-4bfb-9503-f55c9064b14e,
138,cynthia-cute-eyes,Female,,,5d12847b-6d71-4691-8337-2e6ef3e283b2,
139,mary-with-hair,Female,,,98035e8b-6540-4464-8a3c-fdac9f07b168,
140,ada-chewing-bubble-gum,Female,,,15309dc5-e483-4658-b503-db85ba2c1722,