Series Number,Filename,Description,Gender,UUID,Hash
101,adebola-omo-oba,Adebola loves soft life with her fathers wealth,female,fbf43611-f267-4cba-bf4b-a3ffdc122589,e17f5314a781f81cfe6941e586c9d9efdbabb5e90b7ef346e76fc8b767e68ed5
102,chichi-the-dancer,Chichi loves dancing and party,female,e7c32b06-7022-49b4-bbe5-81e8c1d58583,d7527c7c960be0ff14f31ee68fa14ff996fa621cbaeda83545b43ce3180927bf
103,hammed-the-farmer,Hammed owns a farm with his family,male,e57d8985-599e-49da-8d62-fc16b7ac93f2,1e881c6449722708b7dd514d538c52d334c9bb2426b5a55c82a2e6583044e747
104,farida-the-tivlady,Farada is a traditional TIv woman,female,31d3e229-003e-43c8-ba82-38f49cf58ccb,8334eb6cbe44422d49c816289f55907eb005b462b842fe29e0df8fd28fe0cfef
105,hannah-the-singer,Hannah loves singing and belongs to choir,female,281f5bd7-5282-458b-9811-e369980e7dee,ced96a4efab8777f5b4708d06f861b1b52c702f2b026e98640e6b1a0d960888c
106,nonso-the-igbogirl,Nonso is an Igbo girl that loves money,female,5cfa76df-8376-4505-af12-78af24f108d6,c8f1c35b6c0e13be2c5e9d7608dc3db50696b9c30f69155e543d040c4f24f2bf
107,shade-olori,Shade loves soft life and makeup,female,1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,01cd43d4a49e2870433d102fcc752e923275fa670fa6dd41d9f7c2a1e7b80eae
108,quadri-the-teacher,Quadri is a devoted teacher that teaches mathematics,male,d96a93e7-17a4-4efe-b09b-02185cc81ce8,dc2fb84f8816e93ee4ba81b649c1bd3ccf6b2685884624c37ead2020fa490e85
109,Ifeanyi-the-dj,Ifeanyi is a music dj that performs at events,male,030f665d-2cd7-4376-aef5-4030dad9f2d6,a1c136bb7ebffc7db32c661aa264df437086ff53091f3e86bb0975f497ad0b0a
110,fayo-the-yorubademon,Fayo is a youruba demon that breaks hearts,male,e270e278-a9b5-408d-b527-d518239a997b,3dfb71ef01cbd275bbe076cf873c9f9d0a313a43b825bf1952a7c4858f580323
111,nkechi-the-actress,Nkechi is an internation actress that acts in hollywood,female,34b1136d-00b1-4f29-8a03-5b02291d47d5,6c24f8450182ca6430503ec2a2ab627a072e5219d275fa1515cd68f9c3d78686
112,hamzat-the-mallam,Hamsat is a mallam that changes money,male,592eff9f-93b2-4452-a2ed-5d44ebc969db,8d5d2756356afd9b13e6c3a7e8434cbfa9e8c35e862ea2b4a603e5d5a9adec78
113,nnena-pretty-girl,Nnena is beautiful girl that loves to talk about her beauty,female,d9477612-ad63-408e-8d12-24679c647b32,b01c7af45bcde3d5f37744ac4eb8301ce851eab5cc4ae9de5f0f2cb5b092ea85
114,tunde-the-boss,Tunde is a boss that orders her helps around,male,7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,6d8bd8bd0e5588c63610980db9135055845314e0808b0d2ee71b555d04239b2a
115,nnamdi-the-barber,Nnamdi is a baber that does celebrity haircuts,male,152758f3-9414-45a2-a809-95cb05a3de13,a9da5b0437c8ff90597ae82599fafc7dad6960a88a6e239437c9cc016abd7c88
116,amaka-the-hypepriestess,Amaka is a very hyper that she hypes in the clubs,female,c7726e84-3c5c-4e66-8677-cbfb5c9ee850,baf198ff193f13c071eaa8b209bd8888250f1ba70e365521cd8874624be39318
117,kemi-foodie,Kemi loves food but cannot cook,female,3116cb6f-14c4-4d5a-af57-54253b72a309,1e2b4d73fdc38497545e4b44010d6aad9a7bdc7d0a354f6fd1839804e90b8b8a
118,ada-the-fashionister,Ada loves fashion that she rarely repeats cloths,female,a14df1c1-7a5a-4a33-8780-0fb01c593da6,182f34bd4d48e0c7cfb8c758781e7f77597b120db91647bc93dedbe9d4a27798
119,kayode-the-baller,Kayode loves life and lives it,male,fe17bfdc-c251-4654-8313-1ab793e11748,d5e4ea52e479c9108af9a94432646f2cd2ab3cbdb13821d039f9765a6c4907ca
120,kola-of-lagos,Kola is the life of the party everywhere he is,male,df295be1-1509-406e-a263-28a5dee0abca,0f105aa82207ecbc3da567774ff2e17fe457aeee74360cf013c5895caec79fb3