Series Number,Current Name,Name,The,Descriptor,New Name,Description,UUID
161,zurinft_f124r1c6-funky-funmi,funmi,the,fashionist,funmi-the-fashionist,funmi enjoys fashion and she always takes opportunity to showcase her wardrobe ,4f9d99a4-78a2-4fdd-bc30-b027600fa88e
162,zurinft_f124r1c7-sisi-bola,bola,the,funky,bola-the-funky,Bola is a funky fellow but she has another personality no one knows,ac721b71-cbc5-425c-851f-ee826973f0b9
163,zurinft_f124r1c8-aunty-freaky,bimpe,the,runzgirl,bimpe-the-runzgirl,"be careful with bimpe, she can run you strong thing",eaa7662f-6926-468a-9add-e791916ae42b
164,zurinft_f124r1c9-african-queen,sola,the,queen,sola-the-queen,sola is a princess. she's got the mind of a queen,d5f23ad3-832a-4d3e-814e-e23f466d18a4
165,zurinft_f124r1c10-sisi-bola,temi,afro,girl,temi-afro-girl,"temi is know for her funny haircut. this time, afro is up",4f9d99a4-78a2-4fdd-bc30-b027600fa88e
166,zurinft_l1r5c6-jonny-bravo,jonny,the,bravo,jonny-the-bravo,jonny is our local police. he breaks boys free,2b345988-b4b0-453b-ad39-efe1321bc8f1
167,zurinft_l1r5c7-uncle-tunde,tunde,the,bigman,tunde-the-bigman,tunde is the big man on the street. flamboyant life style is his identity,56db423e-8b09-453e-b5fc-61f4da9d7a6f
168,zurinft_l1r5c8-plain-joe,joe,the,plain,joe-the-plain,plain and simple. no one in town is more gentle that broda joe,7a3083bd-5aa2-48b5-a30b-4445cc060f57
169,zurinft_l1r5c9-sharp-guy,wale,sharp,guy,wale-sharp-guy,wale no de carry last. the thinks and act fast,44906ea0-901b-4b3d-802f-f73acc8758f6
170,zurinft_l1r5c10-sleepy-dele,dele,the,snoozer,dele-the-snoozer,"if sleeping were to be a job. dele will be the world busiest man. set a bed in a fury furnace for dele, he'll sleep.",4f9d99a4-78a2-4fdd-bc30-b027600fa88e
171,zurinft_l1r6c1-baba-tolu,father ,of ,tolu,father -of -tolu,baba tolu is a proud father. he will sell his soul just to see tolu excel in life,a2651258-ca3f-4940-b095-3a61ff630263
172,zurinft_l1r6c2-mazi-emeka,emeka,the,chief,emeka-the-chief,chief emeka is the pillar of the community. just and fair to all. the real mazi,de25fd63-dafd-4f77-8072-7ac0ae3a3ab2
173,zurinft_l1r6c3-oga-drooling,lawal,the,drooler,lawal-the-drooler,"lawal has only 2 business, alcoholism and alcoholism. it's only normal for him to drool afterll",806b640f-1c8b-4cc0-aa10-45f3ddc00140
174,zurinft_l1r6c4-agba-solo,solo,the,messenger,solo-the-messenger,"solo is a multitasker. you need anything done in your home, solo is your guy",44906ea0-901b-4b3d-802f-f73acc8758f6
175,zurinft_l1r6c5-otunba-femi,femi,the,honorable,femi-the-honorable,honorable femi is the modern day politician. everything he does is only to further his political career,af53bf52-b517-4347-adc6-07cf30c19025
176,zurinft_l1r6c6-broda-friday,friday,the,bigsboy,friday-the-bigsboy,friday always live up to his name. every friday is for the party.,05ec3aae-7da8-4125-93fb-6fc544e5bc61
177,zurinft_l1r6c7-prof-kweku,kweku,the,planter,kweku-the-planter,kweku says he did it. kweku dey plant Igbo until he was bursted,af53bf52-b517-4347-adc6-07cf30c19025
178,zurinft_l1r6c8-igwe-2pac,2pac,the,remix,2pac-the-remix,2pac is alive in him. his style is exactly the same. upcoming artist ,9993e5ec-2f31-485c-9c6d-f780c078ae56
179,zurinft_l1r6c9-trendy-tope,tope,the,influencer,tope-the-influencer,tope is a famous influencer. loved by his followers which keep growing everyday,3b3e1f66-922b-4f87-8cdb-0d09fc143182
180,zurinft_l1r6c10-goofy-gabby,gabby,the,evangelist,gabby-the-evangelist,"evangelist Gabby, blending gospel with comedy. he's going places",ac721b71-cbc5-425c-851f-ee826973f0b9
,,,,,,,
Team Headlight NFT drive link,,,,,,,