Series Number,Filename,UUID,Gender,Description,"Attributes (hair, eyes, teeth, expressions, "
221,lola-hng-newbie,88b2a5a6-5af7-11ed-9b6a-0242ac120002,Female,A confused hng participant that cannot understand her project,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
222,nene-caroline,88b2a93e-5af7-11ed-9b6a-0242ac120002,Female,A housewife that loves taking care of her family,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
223,wazo-partystopper,88b2ab3c-5af7-11ed-9b6a-0242ac120002,Female,A Nigerian aunty that loves to attend owambe parties,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
224,melanin-janet,88b2ad08-5af7-11ed-9b6a-0242ac120002,Female,A young lady with a soft personality,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
225,leo-sugarmummy,88b2aeac-5af7-11ed-9b6a-0242ac120002,Female,A middle age wild yankee returnee,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
226,novice-joane,88b2b276-5af7-11ed-9b6a-0242ac120002,Female,A princess worried about finding true love,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
227,goofy-simbi,88b2b438-5af7-11ed-9b6a-0242ac120002,Female,An eccentric teenager that loves music,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
228,akwaaba-ghana,88b2b5f0-5af7-11ed-9b6a-0242ac120002,Female,A depressed gothic introvert,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
229,aunty-toyin,88b2b794-5af7-11ed-9b6a-0242ac120002,Female,An oversabi family member,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
230,pretty-hauwa,88b2b8d4-5af7-11ed-9b6a-0242ac120002,Female,A young bride involved in an early marriage,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
231,chimamanda-enugu,88b2ba00-5af7-11ed-9b6a-0242ac120002,Female,a young lady born during the war,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
232,kente-solape,88b2bb2c-5af7-11ed-9b6a-0242ac120002,Female,a respectful and diligent princess,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
233,vamp-karishika,88b2bc4e-5af7-11ed-9b6a-0242ac120002,Female,Queen of the darkness,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
234,genz-monique,88b2bf64-5af7-11ed-9b6a-0242ac120002,Female,A sassy lady with her own vibe,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
235,femi-boltz,88b2c0a4-5af7-11ed-9b6a-0242ac120002,Male,A driver hustling his way through life,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
236,agba-tech,88b2c1f8-5af7-11ed-9b6a-0242ac120002,Male,A tech bro that loves to party but has bad communication skill,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
237,brian-richkid,88b2c388-5af7-11ed-9b6a-0242ac120002,Male,A trust fund baby that does not know how to manage money,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
238,nandi-zulu,88b2c540-5af7-11ed-9b6a-0242ac120002,Female,A fierce African Queen,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
239,ade-demon,88b2c702-5af7-11ed-9b6a-0242ac120002,Male,A lekki playboy that makes money from crypto,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness:
240,karim-rapper,88b2c8a6-5af7-11ed-9b6a-0242ac120002,Male,A young and proud Lagos rapper,hair:; eyes:; teeth:; clothing:; assesories:; expression:; strength:; weakness: