Series Number,Name,The,Descriptor,New Name,Hash,UUIDs,Description,Drive Link,
301,Wendy,The ,Banker,wendy-the -banker,D615D6E161E5F820A2B9F5C3ED3867BE0AA9F16DDCA00A0550E30E29A0B467AD,587645e2-5ace-11ed-9b6a-0242ac120002,"Wendy loves working in the bank, as she gets to meet different people.",Link,Female
302,Uduak,The ,Dark horse,uduak-the -dark horse,5A63A94F455D367EC0AA39F57F827DDBECD3F335C817ED5A76460A2AB8E9068A,58764862-5ace-11ed-9b6a-0242ac120002,Uduak looks innocent and has the whole apartment bugged,Link,Female
303,Timeyin,The ,Eccentic,timeyin-the -eccentic,F56F61BA52961A0314AF161BA1FE2E4722FCD3D5930DB9EC8C762E7433D2C793,58764a2e-5ace-11ed-9b6a-0242ac120002,Timeyin is as eccentric as they come with no care for others opinions,Link,Female
304,Omawunmi,The ,Businesswoman,omawunmi-the -businesswoman,4DABE405E531BB43E8B608DA5769E6C9D8E5C819015CD0D024370DA9424F6E21,58764b78-5ace-11ed-9b6a-0242ac120002,Omawunmi is a no-nonsense woman with a shop in idumota,Link,Female
305,Halima,The,Housewife,halima-the-housewife,9A1439A47A09497A6E7AD2E49B28BA72C7FF55B16E89CB7A417DECD416E480CD,58764d8a-5ace-11ed-9b6a-0242ac120002,Halima loves to bake and cook for her children,Link,Female
306,Muna,The ,Block sister,muna-the -block sister,68A90B4572304D02C43663511D87B82D87FC94946D2E0BDC35C9A8822213FED4,58764ea2-5ace-11ed-9b6a-0242ac120002,Muna loves to tell everyone in the block about her younger escapades,Link,Female
307,Stella,The ,Gossip,stella-the -gossip,8EB75D82549413C8635D4362ED0371E5B7C9B41AF61AF03C117A9637E14AA24C,58764fd8-5ace-11ed-9b6a-0242ac120002,Nobody gossips on the block like stella when smoking.,Link,Female
308,Agbani,The,Wannabe,agbani-the-wannabe,EDD4ECCAD66477854A2B8DAECA881A4480F584EEFB91454C0AA17FCB4BC90FA0,5876542e-5ace-11ed-9b6a-0242ac120002,Agbani loves to shop antique ndecorations for her mansion in idi-iroko,Link,Female
309,Asante,The ,Warrior,asante-the -warrior,9A5BEC07232525F5CFBFE7CD6938ECD12B0AE18C31D40048AD54A8BD98D544BD,58765578-5ace-11ed-9b6a-0242ac120002,Asante came from along line of warriors in Ghana,Link,Female
310,Hilda,The ,Insomaniac,hilda-the -insomaniac,1E3EE53C4B246683437A7496687EFB8A7FF31AB2A94709E5EC30DFDF9F605E50,5876569a-5ace-11ed-9b6a-0242ac120002,Hilda prefers to sleep during the day,Link,Female
311,Sisi Yemi,The ,Street Aunty,sisi yemi-the -street aunty,ABDF8C3C614B6E659909B21AF720AA44DB99F43D3212E35CDC5F945B6083D293,587657a8-5ace-11ed-9b6a-0242ac120002,Sisi Yemi is everyone's favourite street aunty.,Link,Female
312,Chiamaka,The ,Bully,chiamaka-the -bully,4AA5FFC069EA0668B9F5D8539475D94DB62AD8EABAB6E391C853AB7749E0842B,587658ca-5ace-11ed-9b6a-0242ac120002,Chiamaka hates people in her business and likes to scare the kids on the block,Link,Female
313,Gift,The,Fashionista,gift-the-fashionista,659ABF75B27AF934D82251FAEFBA03212EB8DBDAF10C6FEFAE882BAB06C92478,58765adc-5ace-11ed-9b6a-0242ac120002,Gift has always been bold and that spreads to her fashion sense too.,Link,Female
314,Omoyene,The,Weirdo,omoyene-the-weirdo,0835F71BC831D5FE4BE9B575EE115BC5F49411E36EF3F8EDD87D5F85290C764E,58765bea-5ace-11ed-9b6a-0242ac120002,Omoyene likes to murmur to herself and talks about seeing ghosts,Link,Female
315,Maria,The ,freshface,maria-the -freshface,830CADDB05621C97F934C6CCCED1A1D6A7337562D0484762EDEE61F7323671A5,58765d02-5ace-11ed-9b6a-0242ac120002,Maria likes to believe the world is sunshine and rainbows while blowing gum,Link,Female
316,Monica,The ,Smoker,monica-the -smoker,319BEF272ECECE35282BDDB1AA8E1863A1798D33165A5BAD44C59BDE2436E9D6,58765e24-5ace-11ed-9b6a-0242ac120002,Monica is never found without a pipe and loves to interject in every conversation,Link,Female
317,,,,Janet -is always -found singing ,56B1E52CFA757317B88248B5205F2E1B179F7385AB4BF90DEC472A78BF1E5F5B,cef902bc-5afc-11ed-9b6a-0242ac120002,janet alwasy sing off the key when dancing,Link,Female
318,,,,Emi the ragge girl,4BF049395193B3DA92CDC1EFD25FC0CE3EDE16B4BFAFCE8AECDC489A9067F7B2,cef9060e-5afc-11ed-9b6a-0242ac120002,EMi is a beutiful dancer,Link,Female
319,,,,Aisha love the life of the party,BBF6169557917737DF7645779449728330930B76B9B3DE28EE8FAB3BC692A9A2,cef907a8-5afc-11ed-9b6a-0242ac120002,Aisha always party during the weekend,Link,Female
320,,,,Amaka the tailor,56B1E52CFA757317B88248B5205F2E1B179F7385AB4BF90DEC472A78BF1E5F5B,cef9091a-5afc-11ed-9b6a-0242ac120002,She sews the most beautiful dress in the hood,Link,Female